q_id,web_list
1506,"[1705, 1704, 1029, 1034, 1753]"
1507,"[1758, 1137, 1762, 1753, 1795]"
1508,"[1705, 1704, 866, 1745, 1671]"
1509,"[1705, 1704, 1760, 1762, 1761]"
1510,"[1704, 1705, 1753, 1029, 165]"
1511,"[1068, 1704, 1705, 773, 1041]"
1512,"[1704, 1705, 410, 1041, 1029]"
1513,"[175, 938, 163, 165, 1068]"
1514,"[1704, 1705, 278, 1016, 350]"
1515,"[1705, 1704, 1760, 1758, 1762]"
1516,"[1721, 372, 108, 1704, 1705]"
1517,"[211, 1030, 1915, 1202, 410]"
1518,"[1705, 1704, 440, 818, 575]"
1519,"[1705, 1704, 1758, 1113, 1760]"
1520,"[1705, 1704, 1578, 1746, 11]"
1521,"[1028, 313, 1073, 1776, 1757]"
1522,"[1776, 1757, 757, 769, 767]"
1523,"[1705, 1704, 1915, 1760, 321]"
1524,"[1705, 1704, 1297, 11, 7]"
1525,"[1877, 11, 220, 1705, 1704]"
1526,"[1045, 1049, 1037, 211, 1054]"
1527,"[1705, 1704, 1037, 1040, 1029]"
1528,"[1704, 1705, 836, 1243, 1067]"
1529,"[1758, 1705, 1762, 1015, 11]"
1530,"[1147, 1705, 1704, 289, 1064]"
1531,"[1704, 1705, 1758, 1068, 1137]"
1532,"[1736, 175, 364, 776, 771]"
1533,"[1705, 1704, 377, 395, 334]"
1534,"[1705, 1704, 1774, 1297, 1775]"
1535,"[1705, 1704, 1032, 868, 1066]"
1536,"[1029, 1032, 1040, 1753, 165]"
1537,"[1704, 1705, 1761, 1795, 1769]"
1538,"[1704, 1721, 1067, 1068, 257]"
1539,"[1907, 919, 175, 1567, 1905]"
1540,"[1704, 1705, 1880, 1761, 1760]"
1541,"[1705, 1704, 1066, 289, 1916]"
1542,"[1705, 1704, 1113, 1071, 1721]"
1543,"[718, 1773, 1761, 1705, 643]"
1544,"[1049, 1705, 1704, 1037, 287]"
1545,"[1704, 1705, 1762, 1758, 1761]"
1546,"[1705, 7, 1704, 1044, 1762]"
1547,"[818, 1704, 1705, 1800, 1759]"
1548,"[1488, 979, 1159, 1785, 567]"
1549,"[1705, 1704, 257, 349, 67]"
1550,"[1157, 1137, 368, 1704, 1127]"
1551,"[361, 377, 1705, 1048, 1774]"
1552,"[979, 211, 985, 984, 983]"
1553,"[1570, 1877, 1895, 1705, 1704]"
1554,"[1705, 1721, 1704, 372, 1907]"
1555,"[1705, 1704, 1157, 1907, 1721]"
1556,"[1915, 289, 866, 1030, 1552]"
1557,"[1028, 411, 1750, 1239, 614]"
1558,"[1704, 1705, 1761, 1762, 1758]"
1559,"[836, 1800, 1803, 1780, 562]"
1560,"[1774, 1704, 1705, 1769, 1775]"
1561,"[1704, 1705, 1113, 862, 454]"
1562,"[688, 1758, 1306, 1722, 1762]"
1563,"[1705, 1704, 409, 1746, 1567]"
1564,"[1705, 1704, 1071, 1748, 868]"
1565,"[1705, 1704, 1033, 937, 98]"
1566,"[1705, 1704, 468, 111, 533]"
1567,"[1704, 1705, 979, 211, 985]"
1568,"[1264, 398, 1265, 1776, 1757]"
1569,"[1705, 1704, 1907, 1916, 175]"
1570,"[341, 334, 1705, 1704, 374]"
1571,"[1704, 1705, 1077, 377, 403]"
1572,"[1705, 1704, 374, 1907, 1277]"
1573,"[1058, 1176, 1175, 367, 1297]"
1574,"[1705, 1704, 393, 47, 801]"
1575,"[1705, 1704, 374, 1766, 334]"
1576,"[277, 1058, 312, 1057, 440]"
1577,"[1705, 1704, 1753, 1052, 719]"
1578,"[344, 440, 342, 1173, 1176]"
1579,"[1760, 1758, 1762, 1113, 285]"
1580,"[1705, 1704, 1907, 454, 257]"
1581,"[1705, 1704, 1760, 455, 454]"
1582,"[1705, 1704, 211, 919, 1041]"
1583,"[818, 1705, 1704, 1758, 1762]"
1584,"[28, 24, 7, 408, 411]"
1585,"[1705, 1704, 362, 374, 369]"
1586,"[1704, 411, 1705, 1264, 583]"
1587,"[1705, 1704, 1029, 1041, 1040]"
1588,"[1068, 1662, 1137, 783, 1136]"
1589,"[1705, 1704, 1030, 1916, 1041]"
1590,"[1705, 1704, 1910, 1297, 693]"
1591,"[97, 1746, 1306, 96, 126]"
1592,"[1704, 1052, 1705, 670, 1753]"
1593,"[1570, 29, 1877, 1015, 1759]"
1594,"[880, 757, 102, 1735, 364]"
1595,"[1705, 1704, 11, 1015, 1758]"
1596,"[801, 1001, 1297, 313, 1057]"
1597,"[1704, 1705, 1758, 1762, 1760]"
1598,"[1704, 1705, 1758, 1762, 410]"
1599,"[692, 409, 102, 1704, 1705]"
1600,"[1704, 1705, 1041, 165, 1040]"
1601,"[1704, 334, 1705, 1753, 374]"
1602,"[1125, 1135, 1131, 1037, 1087]"
1603,"[1570, 1877, 29, 1015, 1895]"
1604,"[1137, 1062, 1753, 324, 669]"
1605,"[1705, 1704, 1030, 1915, 1041]"
1606,"[1190, 1056, 1705, 1704, 1015]"
1607,"[108, 1705, 1704, 1570, 1769]"
1608,"[1015, 7, 1762, 564, 575]"
1609,"[7, 277, 11, 313, 1058]"
1610,"[1705, 1704, 1810, 1706, 1811]"
1611,"[1752, 1705, 1704, 420, 97]"
1612,"[360, 395, 1129, 333, 1156]"
1613,"[1705, 1704, 98, 1025, 937]"
1614,"[1705, 1704, 1898, 111, 861]"
1615,"[98, 97, 96, 420, 409]"
1616,"[1116, 1745, 1671, 46, 343]"
1617,"[1704, 1705, 1758, 1762, 1761]"
1618,"[341, 1705, 1704, 1066, 333]"
1619,"[1705, 1704, 1526, 409, 291]"
1620,"[1029, 1649, 985, 984, 983]"
1621,"[1705, 1704, 1762, 1758, 1761]"
1622,"[1705, 1704, 257, 374, 92]"
1623,"[1705, 1704, 1758, 372, 1762]"
1624,"[669, 656, 634, 709, 654]"
1625,"[1875, 1190, 1705, 1704, 321]"
1626,"[1705, 1704, 1068, 1907, 1760]"
1627,"[1704, 1705, 1066, 362, 992]"
1628,"[1066, 1125, 1068, 102, 1155]"
1629,"[1243, 7, 11, 1705, 1704]"
1630,"[1705, 1704, 1795, 326, 925]"
1631,"[1068, 1704, 1705, 1137, 1907]"
1632,"[1705, 1704, 1758, 1721, 1760]"
1633,"[1705, 1704, 1907, 1125, 409]"
1634,"[1705, 1704, 1753, 1915, 975]"
1635,"[1066, 1705, 1704, 1907, 1030]"
1636,"[1705, 1704, 1029, 1753, 1034]"
1637,"[1704, 1705, 1762, 1758, 692]"
1638,"[271, 149, 1066, 1205, 918]"
1639,"[1704, 1705, 1066, 1916, 106]"
1640,"[1704, 1705, 1034, 1753, 1029]"
1641,"[1704, 1705, 1762, 1758, 1068]"
1642,"[1721, 372, 108, 1752, 1705]"
1643,"[1054, 377, 388, 1917, 1017]"
1644,"[220, 11, 277, 836, 1058]"
1645,"[818, 1015, 1762, 1758, 1785]"
1646,"[1015, 445, 1513, 562, 564]"
1647,"[1704, 1705, 1762, 1758, 1773]"
1648,"[1704, 1705, 1762, 1761, 1760]"
1649,"[277, 440, 11, 836, 633]"
1650,"[1085, 285, 1054, 7, 303]"
1651,"[1705, 1704, 1297, 773, 340]"
1652,"[1026, 1753, 175, 161, 1029]"
1653,"[1705, 1721, 1704, 372, 108]"
1654,"[220, 277, 24, 11, 272]"
1655,"[1705, 1704, 344, 1176, 1907]"
1656,"[1030, 1041, 165, 1040, 937]"
1657,"[1705, 1704, 1721, 379, 1752]"
1658,"[1015, 1785, 564, 563, 562]"
1659,"[98, 706, 925, 709, 701]"
1660,"[1056, 1705, 1704, 1188, 18]"
1661,"[259, 1704, 1705, 1650, 1907]"
1662,"[1758, 1762, 1224, 1760, 1705]"
1663,"[1704, 1705, 1753, 1029, 937]"
1664,"[1704, 1705, 1762, 1761, 1760]"
1665,"[1705, 1704, 1015, 1910, 1762]"
1666,"[1704, 1705, 1721, 1761, 1760]"
1667,"[1705, 1704, 374, 1766, 334]"
1668,"[1066, 1705, 1704, 1029, 1041]"
1669,"[1705, 1704, 868, 108, 343]"
1670,"[1877, 29, 1762, 1758, 1015]"
1671,"[1704, 1705, 1910, 291, 454]"
1672,"[220, 1705, 1704, 440, 409]"
1673,"[1704, 1705, 1067, 1910, 1774]"
1674,"[1705, 1704, 1758, 1064, 1752]"
1675,"[374, 1137, 372, 1724, 1705]"
1676,"[1028, 1713, 1705, 1704, 1567]"
1677,"[259, 1785, 1704, 1705, 278]"
1678,"[1064, 1705, 1704, 868, 1567]"
1679,"[1704, 1705, 1125, 1066, 289]"
1680,"[1705, 1704, 1762, 455, 409]"
1681,"[1705, 1704, 1760, 1513, 1772]"
1682,"[969, 223, 199, 952, 978]"
1683,"[1071, 1705, 1748, 1704, 868]"
1684,"[1704, 1705, 1761, 1760, 1762]"
1685,"[1705, 1704, 1758, 1752, 1762]"
1686,"[11, 7, 1015, 277, 1513]"
1687,"[1907, 1179, 175, 1063, 1567]"
1688,"[1704, 1705, 1752, 1068, 60]"
1689,"[1190, 1760, 1875, 1761, 374]"
1690,"[211, 1029, 1037, 985, 984]"
1691,"[1721, 1029, 1704, 1705, 567]"
1692,"[175, 918, 410, 1202, 1042]"
1693,"[1029, 1025, 937, 159, 1753]"
1694,"[773, 709, 102, 1527, 128]"
1695,"[98, 440, 170, 1202, 410]"
1696,"[1705, 1762, 1758, 1704, 563]"
1697,"[1746, 124, 126, 409, 880]"
1698,"[1704, 1705, 1137, 1066, 175]"
1699,"[1752, 60, 420, 96, 1705]"
1700,"[1705, 1704, 1030, 1049, 1041]"
1701,"[1570, 1877, 29, 1015, 1762]"
1702,"[374, 1155, 1677, 1125, 1738]"
1703,"[7, 24, 804, 1204, 1246]"
1704,"[1705, 1704, 1759, 1764, 1762]"
1705,"[1028, 290, 1064, 1925, 1167]"
1706,"[1705, 1704, 1029, 1040, 937]"
1707,"[1910, 1705, 440, 643, 1758]"
1708,"[108, 1704, 1705, 1915, 1125]"
1709,"[1705, 1704, 1758, 1040, 1612]"
1710,"[47, 11, 1513, 564, 563]"
1711,"[899, 992, 1050, 801, 250]"
1712,"[1176, 342, 1143, 1145, 338]"
1713,"[342, 1176, 1184, 1173, 1142]"
1714,"[1762, 1758, 1776, 1757, 29]"
1715,"[1705, 1704, 1570, 1877, 277]"
1716,"[24, 277, 1092, 1806, 16]"
1717,"[1910, 1704, 1705, 1066, 1064]"
1718,"[1704, 1705, 1570, 1738, 108]"
1719,"[1705, 1704, 1762, 1627, 321]"
1720,"[1704, 1705, 1066, 1041, 1915]"
1721,"[1705, 1704, 1753, 1029, 937]"
1722,"[1705, 1704, 1157, 699, 688]"
1723,"[1705, 1704, 1752, 1795, 409]"
1724,"[24, 11, 7, 564, 1806]"
1725,"[1131, 126, 98, 1037, 1028]"
1726,"[1721, 1705, 1704, 1067, 454]"
1727,"[1746, 102, 409, 97, 1067]"
1728,"[1704, 1705, 1795, 1907, 1567]"
1729,"[1704, 1705, 1762, 1758, 1760]"
1730,"[1705, 1704, 1677, 605, 1674]"
1731,"[1704, 1705, 1752, 1794, 1761]"
1732,"[334, 1752, 1125, 1155, 1705]"
1733,"[1704, 1705, 1759, 1570, 303]"
1734,"[1705, 1704, 937, 159, 935]"
1735,"[801, 1022, 1877, 346, 401]"
1736,"[1877, 1015, 1570, 29, 1762]"
1737,"[1176, 344, 341, 440, 722]"
1738,"[165, 1029, 211, 1037, 911]"
1739,"[1877, 1738, 801, 47, 401]"
1740,"[259, 1704, 1705, 1157, 475]"
1741,"[165, 937, 159, 1041, 1025]"
1742,"[1759, 757, 1753, 1812, 175]"
1743,"[1028, 290, 1925, 1064, 1073]"
1744,"[1877, 1015, 836, 1895, 313]"
1745,"[1705, 1704, 374, 1907, 372]"
1746,"[1705, 1704, 1760, 1768, 1761]"
1747,"[1704, 1705, 11, 29, 1806]"
1748,"[1705, 1704, 979, 1045, 211]"
1749,"[1015, 1762, 1758, 1570, 1705]"
1750,"[1704, 1705, 368, 819, 858]"
1751,"[1705, 1704, 1785, 1067, 1064]"
1752,"[1705, 1704, 1066, 1907, 1916]"
1753,"[1704, 1705, 454, 455, 97]"
1754,"[1570, 1705, 1704, 1784, 1015]"
1755,"[1015, 1762, 1760, 1761, 1803]"
1756,"[1747, 865, 314, 313, 801]"
1757,"[1753, 1759, 1704, 89, 1570]"
1758,"[1705, 1704, 334, 303, 1125]"
1759,"[836, 277, 81, 1015, 1116]"
1760,"[1026, 1651, 955, 959, 739]"
1761,"[1067, 1704, 1705, 1066, 1907]"
1762,"[1705, 1704, 1795, 89, 165]"
1763,"[1758, 1762, 1015, 1760, 11]"
1764,"[285, 311, 567, 568, 575]"
1765,"[1770, 97, 89, 92, 102]"
1766,"[1037, 1066, 1040, 1029, 289]"
1767,"[1705, 1704, 1762, 1758, 1761]"
1768,"[211, 1029, 1915, 1052, 1042]"
1769,"[1704, 1705, 1557, 1653, 628]"
1770,"[1570, 29, 1877, 1015, 1759]"
1771,"[1704, 1877, 1705, 801, 1570]"
1772,"[290, 1064, 1028, 1925, 165]"
1773,"[1705, 1704, 854, 1044, 1797]"
1774,"[1721, 1704, 1705, 372, 108]"
1775,"[1071, 1068, 291, 1066, 1705]"
1776,"[1704, 1705, 334, 341, 783]"
1777,"[1704, 1705, 374, 1766, 1756]"
1778,"[1705, 1704, 374, 1766, 334]"
1779,"[1704, 1705, 303, 1766, 1752]"
1780,"[818, 1705, 1704, 1758, 1762]"
1781,"[1907, 175, 1025, 1705, 1704]"
1782,"[1704, 1705, 1760, 1761, 1752]"
1783,"[1704, 1705, 836, 409, 1067]"
1784,"[32, 7, 804, 801, 618]"
1785,"[277, 7, 440, 633, 279]"
1786,"[397, 801, 1063, 859, 1727]"
1787,"[1705, 1704, 1793, 1792, 1791]"
1788,"[377, 374, 1704, 1705, 334]"
1789,"[1029, 1704, 1705, 567, 1063]"
1790,"[277, 11, 801, 7, 564]"
1791,"[342, 344, 440, 1142, 1071]"
1792,"[1172, 1179, 387, 1165, 1030]"
1793,"[796, 1761, 1760, 1705, 1704]"
1794,"[1704, 1705, 1762, 1758, 692]"
1795,"[1705, 1704, 563, 568, 562]"
1796,"[7, 564, 563, 562, 1204]"
1797,"[1705, 1704, 165, 462, 128]"
1798,"[1704, 1705, 374, 819, 361]"
1799,"[1705, 1704, 257, 175, 952]"
1800,"[1880, 1578, 1071, 228, 1014]"
1801,"[290, 1125, 1704, 1705, 1925]"
1802,"[97, 1748, 98, 96, 420]"
1803,"[1704, 1705, 97, 89, 1160]"
1804,"[1746, 880, 882, 876, 877]"
1805,"[1705, 1704, 1762, 1758, 1760]"
1806,"[1172, 1127, 1132, 440, 1179]"
1807,"[409, 175, 164, 1299, 165]"
1808,"[1753, 319, 1304, 97, 959]"
1809,"[1705, 1704, 1761, 1760, 1015]"
1810,"[1704, 1705, 1662, 1068, 1758]"
1811,"[1762, 1704, 1705, 1758, 1760]"
1812,"[1172, 1190, 1023, 1179, 1183]"
1813,"[1704, 1705, 362, 340, 1639]"
1814,"[1705, 1704, 1033, 1032, 1034]"
1815,"[1116, 1118, 1705, 1704, 363]"
1816,"[1704, 1705, 1758, 1762, 1760]"
1817,"[862, 1705, 1704, 47, 1573]"
1818,"[1131, 286, 1037, 1029, 1616]"
1819,"[102, 97, 1746, 773, 289]"
1820,"[441, 1705, 1704, 1095, 1078]"
1821,"[1068, 1066, 430, 938, 1160]"
1822,"[1049, 211, 1052, 737, 1026]"
1823,"[1705, 1704, 1916, 1906, 1870]"
1824,"[1705, 1704, 937, 98, 1033]"
1825,"[277, 1116, 279, 275, 1176]"
1826,"[97, 1760, 1204, 1434, 1275]"
1827,"[1745, 102, 1746, 1029, 1713]"
1828,"[165, 937, 1025, 164, 922]"
1829,"[1704, 1705, 1071, 454, 1567]"
1830,"[1705, 1704, 1068, 1761, 1760]"
1831,"[1705, 1704, 1137, 374, 1168]"
1832,"[1028, 313, 1073, 1115, 1925]"
1833,"[361, 1721, 377, 108, 1774]"
1834,"[341, 1297, 265, 1779, 1116]"
1835,"[1704, 1705, 1762, 1758, 1761]"
1836,"[1704, 1705, 1910, 1761, 1760]"
1837,"[1037, 1026, 722, 361, 1297]"
1838,"[1705, 1704, 1761, 1760, 114]"
1839,"[1705, 1704, 1067, 1761, 1795]"
1840,"[1705, 454, 1704, 1067, 1721]"
1841,"[1704, 1705, 1752, 922, 119]"
1842,"[1721, 688, 1705, 1704, 1907]"
1843,"[1705, 1704, 1753, 1037, 1915]"
1844,"[1125, 692, 334, 1721, 1172]"
1845,"[937, 159, 1753, 1915, 1025]"
1846,"[1705, 1704, 175, 163, 165]"
1847,"[1137, 1705, 1704, 1637, 1131]"
1848,"[1068, 1705, 1704, 1040, 1907]"
1849,"[290, 313, 1176, 342, 1071]"
1850,"[1704, 1705, 1762, 1758, 1761]"
1851,"[1705, 1704, 1753, 1029, 1040]"
1852,"[1085, 1047, 1148, 1286, 567]"
1853,"[1040, 1704, 937, 1705, 1029]"
1854,"[102, 1916, 1907, 1552, 60]"
1855,"[98, 97, 96, 409, 1746]"
1856,"[24, 220, 1176, 272, 275]"
1857,"[1704, 1705, 1759, 1764, 758]"
1858,"[1704, 1705, 1015, 862, 1785]"
1859,"[1704, 1705, 1762, 1758, 1760]"
1860,"[1705, 1704, 1762, 1758, 1761]"
1861,"[1131, 1087, 1037, 1705, 1704]"
1862,"[1015, 562, 564, 563, 567]"
1863,"[1721, 1704, 1705, 1915, 372]"
1864,"[1705, 1704, 374, 1137, 1607]"
1865,"[1705, 1704, 1137, 1127, 699]"
1866,"[1705, 1704, 1758, 1050, 1762]"
1867,"[1137, 1066, 79, 1607, 901]"
1868,"[1776, 1757, 1753, 1752, 1265]"
1869,"[1026, 969, 979, 1038, 165]"
1870,"[7, 24, 411, 1243, 16]"
1871,"[1704, 1705, 1768, 1760, 1774]"
1872,"[1705, 1704, 1113, 1907, 1758]"
1873,"[1916, 1068, 1030, 165, 1029]"
1874,"[164, 1049, 923, 161, 928]"
1875,"[409, 46, 1898, 1746, 426]"
1876,"[1125, 1050, 341, 1021, 361]"
1877,"[1015, 1762, 1758, 1877, 29]"
1878,"[1721, 1704, 372, 16, 1567]"
1879,"[1705, 1704, 164, 937, 1033]"
1880,"[1015, 1762, 1760, 1761, 1803]"
1881,"[1705, 1704, 1030, 1041, 1205]"
1882,"[1297, 1037, 1721, 1567, 1184]"
1883,"[1705, 1704, 1033, 1620, 1915]"
1884,"[344, 377, 361, 108, 1721]"
1885,"[1704, 1705, 856, 1752, 1761]"
1886,"[374, 1137, 699, 372, 1724]"
1887,"[1705, 1704, 1804, 1802, 1801]"
1888,"[1705, 1704, 314, 1762, 1904]"
1889,"[1704, 1705, 1907, 1916, 1769]"
1890,"[1705, 1704, 1769, 1775, 1768]"
1891,"[1570, 1877, 29, 1015, 1759]"
1892,"[1704, 1705, 455, 1030, 454]"
1893,"[1704, 1705, 1761, 1760, 1758]"
1894,"[1705, 1704, 1677, 1123, 1132]"
1895,"[1705, 1704, 1758, 1762, 1761]"
1896,"[928, 924, 1672, 925, 162]"
1897,"[1705, 1704, 349, 1488, 967]"
1898,"[1125, 1066, 1297, 868, 1032]"
1899,"[1704, 1705, 454, 455, 1758]"
1900,"[1705, 1704, 1758, 1760, 1762]"
1901,"[1705, 1704, 108, 361, 1147]"
1902,"[925, 1038, 168, 1042, 270]"
1903,"[1704, 1705, 1758, 1762, 1896]"
1904,"[211, 979, 1704, 1052, 1049]"
1905,"[1704, 1705, 1071, 1567, 1922]"
1906,"[1721, 1705, 1704, 372, 108]"
1907,"[374, 1705, 1704, 1155, 1125]"
1908,"[1704, 1705, 1762, 1758, 1760]"
1909,"[1705, 1704, 1064, 1627, 321]"
1910,"[1746, 1704, 60, 1705, 1910]"
1911,"[1704, 1705, 1758, 1766, 758]"
1912,"[1297, 992, 1704, 868, 1008]"
1913,"[1770, 1795, 1028, 1036, 1925]"
1914,"[1704, 1030, 1052, 1037, 1049]"
1915,"[1066, 1030, 1033, 1040, 1704]"
1916,"[1705, 1704, 11, 1513, 97]"
1917,"[97, 98, 1704, 1705, 96]"
1918,"[1704, 1705, 699, 1607, 783]"
1919,"[1705, 1704, 1030, 1029, 163]"
1920,"[377, 440, 1067, 562, 1567]"
1921,"[1705, 1704, 1064, 1762, 291]"
1922,"[7, 24, 618, 1063, 1204]"
1923,"[836, 1015, 575, 564, 563]"
1924,"[1705, 1704, 1762, 1758, 1015]"
1925,"[1616, 1066, 1522, 1705, 1704]"
1926,"[1704, 1705, 291, 1795, 1762]"
1927,"[1616, 1040, 1066, 1907, 1125]"
1928,"[374, 1704, 1705, 1756, 851]"
1929,"[1760, 575, 562, 564, 563]"
1930,"[1721, 361, 334, 108, 377]"
1931,"[1705, 1704, 1137, 334, 374]"
1932,"[1705, 1704, 372, 1157, 861]"
1933,"[1705, 1704, 1578, 442, 1760]"
1934,"[1704, 1705, 1760, 1761, 1758]"
1935,"[411, 440, 1063, 1567, 43]"
1936,"[277, 220, 1057, 11, 801]"
1937,"[1705, 1704, 11, 1513, 97]"
1938,"[1297, 1037, 992, 289, 1066]"
1939,"[1704, 1705, 1759, 1764, 303]"
1940,"[1066, 1705, 1704, 1029, 1041]"
1941,"[1705, 1704, 1297, 97, 165]"
1942,"[1148, 1103, 361, 1085, 1704]"
1943,"[1705, 1704, 362, 374, 361]"
1944,"[1705, 1704, 1030, 164, 937]"
1945,"[1705, 1704, 1041, 165, 1029]"
1946,"[1704, 1705, 1759, 1800, 1092]"
1947,"[1769, 411, 165, 60, 1203]"
1948,"[322, 1060, 1124, 1148, 1136]"
1949,"[1026, 1029, 1054, 211, 952]"
1950,"[1704, 1705, 454, 1113, 455]"
1951,"[1705, 1704, 1721, 108, 372]"
1952,"[1759, 1704, 1800, 1779, 1705]"
1953,"[925, 96, 292, 420, 341]"
1954,"[1704, 1705, 1907, 1762, 1758]"
1955,"[818, 1570, 1274, 1488, 1752]"
1956,"[818, 1705, 1704, 1758, 1762]"
1957,"[1705, 1704, 165, 1029, 1030]"
1958,"[1049, 1752, 1030, 1917, 1037]"
1959,"[1705, 1704, 1762, 1758, 1113]"
1960,"[312, 277, 1243, 7, 342]"
1961,"[1704, 1705, 1277, 1721, 938]"
1962,"[1705, 1704, 1068, 1907, 1137]"
1963,"[410, 1202, 1915, 1025, 937]"
1964,"[1704, 1705, 1721, 377, 361]"
1965,"[1877, 1015, 1570, 29, 1762]"
1966,"[1704, 1705, 454, 455, 16]"
1967,"[1753, 670, 164, 1029, 620]"
1968,"[1704, 1705, 454, 1112, 346]"
1969,"[11, 7, 47, 1570, 1513]"
1970,"[836, 277, 312, 1015, 1116]"
1971,"[1705, 1704, 594, 1513, 542]"
1972,"[1705, 334, 1704, 340, 1779]"
1973,"[1705, 1704, 1752, 1118, 83]"
1974,"[1704, 1705, 1907, 1066, 374]"
1975,"[277, 1274, 1092, 24, 310]"
1976,"[1030, 1205, 271, 165, 410]"
1977,"[1704, 1705, 1800, 1779, 1780]"
1978,"[1704, 1705, 1030, 1907, 164]"
1979,"[1704, 1705, 1758, 363, 372]"
1980,"[1705, 1704, 1762, 1758, 1761]"
1981,"[1570, 468, 778, 111, 762]"
1982,"[7, 11, 575, 564, 1806]"
1983,"[1753, 1758, 1705, 1762, 1704]"
1984,"[277, 7, 11, 618, 279]"
1985,"[1758, 1762, 1297, 1015, 1760]"
1986,"[440, 836, 454, 1705, 1274]"
1987,"[1704, 1160, 1068, 1705, 925]"
1988,"[1705, 1704, 1627, 1905, 440]"
1989,"[1704, 1705, 1776, 1757, 92]"
1990,"[1776, 1757, 1705, 1704, 1752]"
1991,"[1704, 1705, 1762, 1758, 692]"
1992,"[277, 11, 7, 1243, 618]"
1993,"[1015, 29, 1877, 836, 1762]"
1994,"[1753, 163, 1014, 928, 1029]"
1995,"[634, 1134, 564, 807, 562]"
1996,"[1704, 1705, 1762, 1758, 1760]"
1997,"[1570, 1015, 1877, 564, 575]"
1998,"[1752, 1705, 1704, 440, 568]"
1999,"[1704, 1705, 1067, 1774, 1721]"
2000,"[454, 1704, 455, 1070, 1705]"
2001,"[773, 1704, 1705, 1068, 1125]"
2002,"[1071, 1064, 321, 1526, 1705]"
2003,"[60, 420, 98, 1025, 937]"
2004,"[1753, 1705, 1704, 1030, 1915]"
2005,"[1704, 1705, 937, 175, 98]"
2006,"[1759, 1705, 1704, 1758, 1764]"
2007,"[1704, 1705, 454, 455, 862]"
2008,"[1704, 1705, 1753, 1025, 937]"
2009,"[1705, 1704, 1758, 1762, 1760]"
2010,"[1029, 1040, 937, 165, 163]"
2011,"[334, 277, 1803, 1780, 1067]"
2012,"[374, 1704, 1129, 1705, 395]"
2013,"[1148, 1045, 1039, 283, 1042]"
2014,"[1705, 1704, 1761, 1760, 1758]"
2015,"[1068, 1705, 1704, 1762, 1758]"
2016,"[1705, 1704, 1264, 575, 1513]"
2017,"[1705, 1704, 979, 211, 213]"
2018,"[1704, 1705, 1915, 1160, 1344]"
2019,"[1704, 1705, 106, 1760, 1922]"
2020,"[1704, 1705, 1761, 1760, 1758]"
2021,"[291, 1705, 1704, 1762, 1758]"
2022,"[1704, 1705, 1721, 454, 372]"
2023,"[119, 1771, 672, 1041, 1025]"
2024,"[1125, 1705, 1704, 374, 329]"
2025,"[1068, 1137, 1870, 1824, 175]"
2026,"[1705, 1704, 1677, 603, 1123]"
2027,"[290, 1122, 1064, 1167, 1737]"
2028,"[211, 979, 985, 984, 983]"
2029,"[211, 928, 1915, 1705, 1704]"
2030,"[969, 1705, 1050, 967, 1042]"
2031,"[1319, 1179, 276, 272, 395]"
2032,"[1704, 1705, 1570, 1001, 1688]"
2033,"[1705, 1704, 1513, 542, 594]"
2034,"[1705, 1704, 1064, 1774, 1760]"
2035,"[1704, 1705, 1761, 1760, 819]"
2036,"[163, 928, 165, 919, 175]"
2037,"[1705, 1704, 340, 334, 851]"
2038,"[102, 97, 96, 420, 1616]"
2039,"[1705, 1704, 1049, 163, 211]"
2040,"[1030, 1705, 1704, 98, 409]"
2041,"[1704, 1705, 454, 455, 1308]"
2042,"[1704, 1705, 1762, 1758, 1761]"
2043,"[7, 11, 1243, 332, 1513]"
2044,"[1030, 1704, 1705, 1915, 1205]"
2045,"[165, 1029, 866, 1704, 1705]"
2046,"[1779, 1800, 289, 1780, 275]"
2047,"[1705, 1704, 454, 1067, 1761]"
2048,"[1877, 1570, 1015, 1895, 1704]"
2049,"[1705, 1704, 1753, 1137, 1066]"
2050,"[1049, 1026, 737, 719, 1043]"
2051,"[1070, 291, 335, 467, 454]"
2052,"[102, 409, 1063, 564, 562]"
2053,"[277, 1015, 1116, 1513, 575]"
2054,"[440, 1704, 1705, 43, 1312]"
2055,"[1705, 1727, 1137, 333, 395]"
2056,"[1029, 1041, 163, 937, 159]"
2057,"[1704, 1705, 1761, 1760, 1758]"
2058,"[1705, 1704, 1758, 1761, 1760]"
2059,"[1753, 1915, 175, 1916, 1030]"
2060,"[1137, 271, 149, 1753, 1705]"
2061,"[1705, 1704, 1759, 1764, 1762]"
2062,"[1705, 1704, 1157, 1527, 1795]"
2063,"[1753, 1029, 410, 1202, 211]"
2064,"[1052, 1026, 719, 1648, 620]"
2065,"[1704, 1705, 1761, 1760, 1762]"
2066,"[1770, 1028, 1118, 1694, 101]"
2067,"[1705, 1704, 1795, 1775, 1774]"
2068,"[1705, 1704, 1029, 1037, 1066]"
2069,"[1704, 1705, 1791, 1792, 1793]"
2070,"[1705, 1704, 1052, 1030, 1049]"
2071,"[290, 1122, 1737, 1167, 348]"
2072,"[1113, 1705, 688, 1704, 1067]"
2073,"[1705, 1704, 1113, 1067, 1758]"
2074,"[1704, 1705, 1052, 211, 1756]"
2075,"[1705, 1704, 1786, 1787, 1789]"
2076,"[1704, 1705, 1762, 1758, 1760]"
2077,"[1704, 1705, 1066, 1907, 1721]"
